,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,id,senid,name,type,date,init01,init02,m01,m02,c01,c02,c03,c04,pc01,pc02,gf01,gf02,gf03,gf04,gf05,gf06,logger1_pos1,logger1_pos2,logger2_pos1,logger2_pos2,logger3_pos1,logger3_pos2
65,65,65,65,65,65,65,65,65,65,98,EP1201,EP-12C,EP_,2020-06-29 10:00,3161.48,14.2,1743.35,-3.402,1.649,0.0,0.0,0.0,1.649,0.0,-1.3235,-0.60385,999999.0,0.0,0.0,0.0,0.0,0.0,38.0,107.0,0.0,0.0
66,66,66,66,66,66,66,66,66,66,99,EP1202,EP-12D,EP_,2020-06-29 10:00,3166.64,9.2,1743.467,2.456,1.807,0.0,0.0,0.0,1.807,0.0,-1.396,-0.69802,999999.0,0.0,0.0,0.0,0.0,0.0,39.0,108.0,0.0,0.0
67,67,67,67,67,67,67,67,67,67,100,EP1203,EP-12U,EP_,2020-06-29 10:00,3709.05,10.4,1901.938,-1.561,1.298,0.0,0.0,0.0,1.298,0.0,-1.388,-0.33831,999999.0,0.0,0.0,0.0,0.0,0.0,37.0,106.0,0.0,0.0
68,68,68,68,68,68,68,68,68,68,101,EP0701,EP-7C,EP_,2020-06-29 10:00,3272.74,5.8,1664.246,-17.252,10.075,0.0,0.0,0.0,10.075,0.0,-1.9642,-0.24264,999999.0,0.0,0.0,0.0,0.0,0.0,3.0,72.0,0.0,0.0
69,69,69,69,69,69,69,69,69,69,102,EP0702,EP-7D,EP_,2020-06-29 10:00,3486.47,5.7,660.098,-6.022,59.639,0.0,0.0,0.0,59.639,0.0,-1.9171,-0.32704,999999.0,0.0,0.0,0.0,0.0,0.0,4.0,73.0,0.0,0.0
70,70,70,70,70,70,70,70,70,70,103,EP0703,EP-7U,EP_,2020-06-29 10:00,3315.76,5.7,1705.342,-5.628,7.901,0.0,0.0,0.0,7.901,0.0,-1.9012,-0.30196,999999.0,0.0,0.0,0.0,0.0,0.0,2.0,71.0,0.0,0.0
71,71,71,71,71,71,71,71,71,71,104,EP0801,EP-8C,EP_,2020-06-29 10:00,3762.43,12.4,660.146,3.6,48.343,0.0,0.0,0.0,48.343,0.0,-1.4251,-0.85507,999999.0,0.0,0.0,0.0,0.0,0.0,6.0,75.0,0.0,0.0
72,72,72,72,72,72,72,72,72,72,105,EP0802,EP-8D,EP_,2020-06-29 10:00,3762.92,13.9,1901.355,-6.58,2.127,0.0,0.0,0.0,2.127,0.0,-1.4115,-0.91748,999999.0,0.0,0.0,0.0,0.0,0.0,7.0,76.0,0.0,0.0
73,73,73,73,73,73,73,73,73,73,106,EP0803,EP-8U,EP_,2020-06-29 10:00,3479.98,10.6,1821.012,-3.261,2.277,0.0,0.0,0.0,2.277,0.0,-1.3627,-0.67284,999999.0,0.0,0.0,0.0,0.0,0.0,5.0,74.0,0.0,0.0
74,74,74,74,74,74,74,74,74,74,107,EP0901,EP-9C,EP_,2020-06-29 10:00,2923.3,8.2,3340.022,-5.613,-109.451,0.0,0.0,0.0,-109.451,0.0,-1.3038,-0.97786,999999.0,0.0,0.0,0.0,0.0,0.0,9.0,78.0,0.0,0.0
75,75,75,75,75,75,75,75,75,75,108,EP0902,EP-9D,EP_,2020-06-29 10:00,3726.3,8.5,1867.203,4.886,3.407,0.0,0.0,0.0,3.407,0.0,-1.393,-0.63556,999999.0,0.0,0.0,0.0,0.0,0.0,10.0,79.0,0.0,0.0
76,76,76,76,76,76,76,76,76,76,109,EP0903,EP-9U,EP_,2020-06-29 10:00,3689.35,8.5,1877.878,-15.891,2.192,0.0,0.0,0.0,2.192,0.0,-1.3191,-0.42047,999999.0,0.0,0.0,0.0,0.0,0.0,8.0,77.0,0.0,0.0
77,77,77,77,77,77,77,77,77,77,110,JM0004,JM-4,JM,2020-02-19 10:00,2095.9,0.0,1557.307,2.687,2.687,0.0,0.0,0.0,2.687,0.0,0.00816,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0
78,78,78,78,78,78,78,78,78,78,111,JM0008,JM-8,JM,2020-04-16 19:00,2398.83,0.0,1554.343,0.146,0.146,0.0,0.0,0.0,0.146,0.0,0.008518,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0
79,79,79,79,79,79,79,79,79,79,118,NS0007,NS-7,NS,2020-04-13 8:00,2433.83,0.0,796.095,7.054,-1637.735,-1637.735,0.0,0.0,-1637.735,0.0,999999.0,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,136.0
80,80,80,80,80,80,80,80,80,80,121,PJ0403,PJ-4-3,PJ,2020-01-01 1:00,4771.34,0.0,1780.931,0.0,-27.453,0.0,0.0,0.0,-27.453,0.0,0.017162,999999.0,999999.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0
81,81,81,81,81,81,81,81,81,81,125,PP0012,PP-12,PP,2020-06-29 8:00,3414.92,-1.9,3377.071,3.53,-61.078,0.0,0.0,0.0,-61.078,0.0,-0.685,-6e-06,-0.30432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,112.0
82,82,82,82,82,82,82,82,82,82,126,PP0013,PP-13,PP,2020-06-29 8:00,3437.86,26.0,1785.953,-16.185,1.392,0.0,0.0,0.0,1.392,0.0,-0.683,-9e-06,-0.39708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,113.0
83,83,83,83,83,83,83,83,83,83,127,PP0014,PP-14,PP,2020-06-29 8:00,3635.66,22.6,1839.615,-17.008,1.407,0.0,0.0,0.0,1.407,0.0,-0.689,-7e-06,-0.50058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,102.0
84,84,84,84,84,84,84,84,84,84,129,HS0301,HS-3-1,HS,2020-01-01 1:00,5197.55,0.0,2227.879,0.0,-11.806,0.0,0.0,0.0,-11.806,0.0,0.050432,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
85,85,85,85,85,85,85,85,85,85,130,HS0310,HS-3-10,HS,2020-01-01 1:00,5289.45,0.0,2311.094,0.0,2.572,0.0,0.0,0.0,2.572,0.0,0.049751,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
86,86,86,86,86,86,86,86,86,86,131,HS0311,HS-3-11,HS,2020-01-01 1:00,5018.02,0.0,2234.691,0.0,-1.24,0.0,0.0,0.0,-1.24,0.0,0.051285,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
